Hour	Mass flow rate [kg/h]	Temperature [C]
317	0.1287216	80
318	0.134105316	80
319	0.101907661	80
320	0.056112669	80
321	0.068031212	80
322	0.05442163	80
323	0.067536926	80
324	0.052897023	80
325	0.07844463	80
326	0.075245126	80
327	0.09525483	80
328	0.18002054	80
329	0.125847723	80
330	0.106356241	80
331	0.144966264	80
332	0.101460688	80
333	0.125826015	80
334	0.115631352	80
335	0.106165317	80
336	0.083280624	80
337	0.078337757	80
338	0.096285707	80
339	0.120666063	80
340	0.111915853	80
341	0.113483877	80
342	0.128208387	80
343	0.133400067	80
344	0.068229372	80
345	0.084155645	80
346	0.08110977	80
347	0.060757183	80
348	0.076236482	80
349	0.083577864	80
350	0.114360568	80
351	0.164490587	80
352	0.17617312	80
353	0.185230589	80
354	0.162435513	80
355	0.178310575	80
356	0.141389365	80
357	0.144678487	80
358	0.096078641	80
359	0.100323495	80
360	0.100555052	80
361	0.089773146	80
362	0.083485463	80
363	0.133764659	80
364	0.107281915	80
365	0.117115882	80
366	0.141751731	80
367	0.109686553	80
368	0.095719615	80
369	0.07231169	80
370	0.077485558	80
371	0.058063098	80
372	0.059661737	80
373	0.090766172	80
374	0.116017096	80
375	0.121189294	80
376	0.174787113	80
377	0.197605011	80
378	0.163281589	80
379	0.172592881	80
380	0.146141865	80
381	0.085226599	80
382	0.113893	80
383	0.099425095	80
384	0.071057048	80
385	0.070070145	80
386	0.067592588	80
387	0.099274805	80
388	0.122378811	80
389	0.108644543	80
390	0.147531211	80
391	0.116430115	80
392	0.101302049	80
393	0.064424255	80
394	0.062756038	80
395	0.07904078	80
396	0.066778797	80
397	0.081696457	80
398	0.081935808	80
399	0.132445448	80
400	0.186092251	80
401	0.202069733	80
402	0.133302101	80
403	0.096011845	80
404	0.109906422	80
405	0.088910928	80
406	0.082846453	80
407	0.058785602	80
408	0.062146529	80
409	0.052191774	80
410	0.058112638	80
411	0.051169803	80
412	0.078779721	80
413	0.086427805	80
414	0.081632445	80
415	0.10558364	80
416	0.075338639	80
417	0.063235296	80
418	0.057120725	80
