Hour	Heat demand [kW]
321	0.26333295
322	0.243099646
323	0.22263301
324	0.203044148
325	0.191355278
326	0.18347751
327	0.174833078
328	0.187244172
329	0.198166378
330	0.211488582
331	0.222177454
332	0.217821906
333	0.200999708
334	0.139144242
335	0.114610944
336	0.110755394
337	0.109444286
338	0.11131095
339	0.121522046
340	0.153688666
341	0.223299674
342	0.29225513
343	0.287755136
344	0.277144042
345	0.260166288
346	0.243099646
347	0.22121079
348	0.196244158
349	0.180966404
350	0.172388638
351	0.176044188
352	0.194677494
353	0.21482191
354	0.228688556
355	0.240966316
356	0.23096633
357	0.217910794
358	0.159877546
359	0.132744252
360	0.129233146
361	0.127522036
362	0.12633315
363	0.13618869
364	0.166888646
365	0.234799658
366	0.290455132
367	0.282577366
368	0.27378849
369	0.256988514
370	0.24008854
371	0.22406634
372	0.211188582
373	0.199144154
374	0.188399726
375	0.185755286
376	0.19219972
377	0.212255246
378	0.222077454
379	0.235599658
380	0.246721864
381	0.226366338
382	0.16074421
383	0.130566476
384	0.122844266
385	0.118844272
386	0.121077602
387	0.13374425
388	0.169933086
389	0.24486631
390	0.31925509
391	0.31021066
392	0.299010676
393	0.280766258
394	0.262666284
395	0.236888544
396	0.219344126
397	0.20174415
398	0.188399726
399	0.190610834
400	0.207077476
401	0.228910778
402	0.239266318
403	0.255732962
404	0.251977412
405	0.23603299
406	0.16592198
407	0.139266464
408	0.132788696
409	0.131866474
410	0.132344252
411	0.145155344
412	0.178055296
413	0.253499632
414	0.328266188
415	0.31539954
416	0.299010676
417	0.27125516
418	0.250621858
419	0.216933018
420	0.185377508
421	0.169277532
422	0.15759977
423	0.160266434
424	0.189721946
425	0.212255246
426	0.227366336
427	0.239621874
428	0.244099644
429	0.228788556
430	0.16074421
431	0.136366468
432	0.133499806
433	0.136922022
434	0.144355346
435	0.165521982
436	0.208510808
437	0.306699554
438	0.380466112
439	0.37241057
440	0.35284393
441	0.323543974
442	0.304810668
443	0.276799598
444	0.254677408
445	0.218621904
446	0.20072193
447	0.184544176
448	0.172377526
449	0.181499736
450	0.179744182
451	0.188633058
452	0.18762195
453	0.17443308
454	0.121010934
455	0.101566518
456	0.092988754
457	0.092822088
458	0.09478875
459	0.113366502
460	0.146588676
461	0.223299674
462	0.297655122
463	0.280844036
464	0.267055166
465	0.239566318
466	0.208477474
467	0.179866404
468	0.154121998
469	0.143310902
470	0.139110908
471	0.14327757
472	0.169899752
473	0.195599716
474	0.211488582
475	0.228888556
476	0.234899658
477	0.214288576
478	0.152099778
479	0.131288698
480	0.127822036
481	0.12318871
482	0.121077602
483	0.13537758
484	0.167899756
485	0.247744084
486	0.312055102
487	0.29985512
488	0.275466266
489	0.252244078
490	0.23105522
491	0.205533034
492	0.19352194
493	0.186155284
494	0.171155306
495	0.166333092
496	0.171133084
497	0.182788622
498	0.195621938
499	0.20741081
500	0.20863303
501	0.192544164
502	0.133966472
503	0.110988728
504	0.100810964
505	0.098599856
506	0.108310954
507	0.115810942
508	0.140488684
509	0.190221946
510	0.252655188
511	0.248021862
512	0.231732996
513	0.20153304
514	0.179877516
515	0.154210886
516	0.156833106
517	0.158888658
518	0.151433112
519	0.146910898
520	0.155021996
521	0.164844204
522	0.181066404
523	0.188633058
524	0.182366402
525	0.17322197
526	0.122733154
527	0.098666524
528	0.099388744
529	0.099322078
530	0.100799854
531	0.10929984
532	0.142522014
533	0.217544128
534	0.281455146
535	0.267021834
536	0.25359963
537	0.231644108
538	0.21299969
539	0.19412194
540	0.179933072
541	0.171877528
542	0.164988648
543	0.17241086
544	0.183521956
545	0.189188614
546	0.200910818
547	0.215466354
548	0.215199686
549	0.200999708
550	0.139144242
551	0.113888724
552	0.108633176
553	0.109444286
554	0.110555394
555	0.120699824
556	0.149633116
557	0.214666354
558	0.277855152
559	0.263566284
560	0.25359963
561	0.23005522
562	0.219010792
563	0.208377474
564	0.201677484
565	0.199144154
566	0.190866388
567	0.191833054
568	0.202121928
569	0.21482191
570	0.224721896
571	0.234255214
572	0.23227744
573	0.215499686
574	0.151233114
575	0.125488706
576	0.122133156
577	0.12318871
578	0.127077592
579	0.137822022
580	0.172977526
581	0.252055188
582	0.326466192
583	0.31366621
584	0.300699562
585	0.272844048
586	0.255144074
587	0.236888544
588	0.226144116
589	0.212121914
590	0.20072193
591	0.197899712
592	0.207077476
593	0.2212219
594	0.232655216
595	0.239621874
596	0.23227744
597	0.215499686
598	0.15555533
599	0.129122034
600	0.124977596
601	0.12391093
602	0.12633315
603	0.1369998
604	0.168921976
605	0.241988536
606	0.317455094
607	0.31021066
608	0.299010676
609	0.280766258
610	0.259655178
611	0.241166316
612	0.224788562
613	0.213421912
614	0.199488598
615	0.195466382
616	0.202121928
617	0.212255246
618	0.223399674
619	0.234255214
620	0.23227744
621	0.214288576
622	0.147777562
623	0.120410936
624	0.117155386
625	0.115955386
626	0.120322048
627	0.129666478
628	0.162821986
629	0.231921884
630	0.308455106
631	0.292944018
632	0.275466266
633	0.252244078
634	0.237077432
635	0.22121079
636	0.20032193
637	0.186155284
638	0.17484419
639	0.16997753
640	0.171133084
641	0.184066398
642	0.190333056
643	0.198021934
644	0.191555276
645	0.176844188
646	0.118410938
647	0.094310974
648	0.085177654
649	0.079077662
650	0.078266552
651	0.08077766
652	0.105977624
653	0.148522006
654	0.204044148
655	0.197921934
656	0.193044164
657	0.182521956
658	0.169344198
659	0.178444184
660	0.170421974
661	0.169277532
662	0.15636644
663	0.160266434
664	0.171133084
665	0.185344174
666	0.199588598
667	0.210099694
668	0.20732192
669	0.188921948
670	0.135688692
671	0.110266506
672	0.106499844
673	0.115233166
674	0.124077598
675	0.13455536
676	0.169933086
677	0.246299642
678	0.321055088
679	0.30848844
680	0.2973329
681	0.274421822
682	0.253632964
683	0.244021868
684	0.23157744
685	0.219921902
686	0.201955262
687	0.201544152
688	0.208310808
689	0.219944124
690	0.233977438
691	0.247677418
692	0.244099644
693	0.220333012
694	0.152966444
695	0.126210928
696	0.122133156
697	0.121744268
698	0.124833152
699	0.1369998
700	0.173988636
701	0.252055188
702	0.331866184
703	0.322310642
704	0.307421774
705	0.288688468
706	0.270188496
707	0.25399963
708	0.247888528
709	0.236799656
710	0.222910786
711	0.227033002
712	0.241777426
713	0.260955176
714	0.271010716
715	0.27854404
716	0.27693293
717	0.256566294
718	0.178877518
719	0.150144226
720	0.147710896
721	0.14704423
722	0.149610894
723	0.164710872
724	0.205466368
725	0.29518846
726	0.385866106
727	0.374132788
728	0.357888368
729	0.336221732
730	0.307821774
731	0.295332904
732	0.292732908
733	0.290032912
734	0.277121818
735	0.27316627
736	0.290110688
737	0.309643994
738	0.325243972
739	0.340277282
740	0.333410626
741	0.303677336
742	0.209966362
743	0.168266422
744	0.157666438
745	0.15283311
746	0.153366444
747	0.16226643
748	0.201399706
749	0.290877354
750	0.376866118
751	0.365499468
752	0.354521706
753	0.32513286
754	0.298788454
755	0.272532936
756	0.243810756
757	0.218621904
758	0.197033046
759	0.199110822
760	0.224421896
761	0.250699636
762	0.264399616
763	0.27317738
764	0.272988492
765	0.252944076
766	0.178877518
767	0.145066456
768	0.139899796
769	0.141988682
770	0.148110896
771	0.164710872
772	0.208510808
773	0.300944006
774	0.394866092
775	0.37758834
776	0.367977242
777	0.339388394
778	0.316855094
779	0.289632912
780	0.256044072
781	0.226410782
782	0.198255266
783	0.190610834
784	0.213266356
785	0.236599656
786	0.24456631
787	0.257066292
788	0.265110726
789	0.24932186
790	0.178877518
791	0.151588668
792	0.147710896
793	0.148499784
794	0.154866442
795	0.167155312
796	0.210533026
797	0.29518846
798	0.36246614
799	0.360310586
800	0.327610634
801	0.282344034
802	0.246110752
803	0.22406634
804	0.208477474
805	0.1835664
806	0.155133108
807	0.162699764
808	0.187244172
809	0.203288592
810	0.232655216
811	0.23827743
812	0.234899658
813	0.213088578
814	0.145188678
815	0.116788718
816	0.110755394
817	0.110177618
818	0.113566502
819	0.124777596
820	0.158766436
821	0.223299674
822	0.283255144
823	0.270477384
824	0.265377392
825	0.258577402
826	0.244599644
827	0.231188552
828	0.215266354
829	0.20174415
830	0.187166394
831	0.180899736
832	0.18601084
833	0.195599716
834	0.20355526
835	0.210099694
836	0.20863303
837	0.192544164
838	0.133099806
839	0.108088732
840	0.102944294
841	0.101499852
842	0.103055406
843	0.111744282
844	0.140488684
845	0.20316637
846	0.263455172
847	0.251477412
848	0.24182187
